,title,genre_list,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,ScienceFiction,TVMovie,Thriller,War,Western,vote_average,popularity,vote_count,revenue,budget,release_date,profit
1473,Megamind,"Animation,Action,Comedy,Family,ScienceFiction",1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6.9,31.998,4650,321885765,130000000,2010-10-28,191885765
1474,Tom and Jerry: The Fast and the Furry,"Action,Family,Animation,Comedy,Adventure",1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.7,31.993000000000002,88,0,0,2005-10-11,0
1475,Alice in Wonderland,"Family,Fantasy,Adventure",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6.6,31.986,10636,1025467110,200000000,2010-03-03,825467110
1476,Jeepers Creepers 2,"Horror,Thriller",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5.9,31.982,925,63102666,17000000,2003-08-08,46102666
1477,How to Be a Latin Lover,Comedy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,31.976,379,26251899,0,2017-03-06,26251899
1478,The Players,Comedy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,31.965,86,0,0,2020-07-15,0
1479,No Escape,"Action,Thriller",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.9,31.964000000000002,1764,54418872,5000000,2015-08-26,49418872
1480,The Wind Rises,"Animation,War,History,Drama,Romance",0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,7.8,31.954,1763,117932401,30000000,2013-07-20,87932401
1481,Lone Survivor,"Action,Drama,War",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7.4,31.938000000000002,2901,149295601,40000000,2013-12-24,109295601
1482,The Lion King II: Simba's Pride,"Adventure,Animation,Family",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.0,31.936999999999998,3152,0,0,1998-10-24,0
1483,Rocky,Drama,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.7,31.930999999999997,4959,117235147,1000000,1976-11-21,116235147
1484,American Made,"Action,Crime,Comedy",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,31.921999999999997,2956,133511855,50000000,2017-08-08,83511855
1485,Teenage Mutant Ninja Turtles: Out of the Shadows,"Action,Adventure,Comedy,Family,ScienceFiction",1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6.0,31.916999999999998,2409,245623848,135000000,2016-06-01,110623848
1486,Love & Other Drugs,"Drama,Comedy,Romance",0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7.0,31.906,3388,102820008,30000000,2010-11-22,72820008
1487,Poltergeist,"Horror,Thriller",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5.2,31.9,1775,95437994,35000000,2015-05-20,60437994
1488,Friday the 13th Part VII: The New Blood,Horror,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.4,31.886,559,19170001,2800000,1988-05-13,16370001
1489,Nowhere to Run,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,31.85,368,0,0,1993-01-15,0
1490,"The Good, the Bad and the Ugly",Western,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.4,31.842,5390,25118063,1200000,1966-12-23,23918063
1491,Tracers,"Action,Crime,Drama",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.1,31.820999999999998,883,593683,11000000,2015-01-15,-10406317
1492,Isi & Ossi,"Romance,Comedy",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.0,31.816999999999997,573,0,0,2020-02-14,0
1493,How the Grinch Stole Christmas,"Family,Comedy,Fantasy",0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6.7,31.799,4685,345141403,123000000,2000-11-17,222141403
1494,Saw III,"Horror,Thriller,Crime",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,6.4,31.775,2852,163876815,10000000,2006-10-27,153876815
1495,Gone Girl,"Mystery,Thriller,Drama",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,7.9,31.721,13231,369330363,61000000,2014-10-01,308330363
1496,The Lego Movie,"Adventure,Animation,Comedy,Family,Fantasy",0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7.4,31.711,5766,469160692,60000000,2014-02-06,409160692
1497,Cloudy with a Chance of Meatballs 2,"Animation,Family,Comedy",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.4,31.7,2150,248384621,78000000,2013-09-26,170384621
1498,Hachi: A Dog's Tale,"Drama,Family",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8.0,31.691,4705,46749646,16000000,2009-06-13,30749646
1499,The Craft: Legacy,"Horror,Drama,Fantasy",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0.0,31.656999999999996,0,0,0,2020-10-28,0
1500,Escape Plan,"Action,Thriller",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.7,31.648000000000003,3595,122915111,50000000,2013-10-09,72915111
1501,The Hater,"Drama,Thriller",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7.0,31.638,230,0,0,2020-03-06,0
1502,Bad Boys II,"Adventure,Action,Comedy,Thriller,Crime",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.5,31.622,3703,273339556,130000000,2003-07-18,143339556
1503,The Exorcism of Emily Rose,"Crime,Drama,Horror,Thriller",0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,6.4,31.605999999999998,1793,144216468,19000000,2005-09-09,125216468
1504,Terminator Salvation,"Action,ScienceFiction,Thriller",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6.0,31.596999999999998,4588,371353001,200000000,2009-05-20,171353001
1505,Garfield,"Animation,Comedy,Family",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.6,31.573,2616,200804534,50000000,2004-06-10,150804534
