,title,genre_list,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,ScienceFiction,TVMovie,Thriller,War,Western,vote_average,popularity,vote_count,revenue,budget,release_date,profit
0,2067,"ScienceFiction,Thriller,Drama",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,5.8,3739.4629999999997,141,0,0,2020-10-01,0
1,Welcome to Sudden Death,"Action,Drama,Thriller",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6.6,2058.6839999999997,113,0,0,2020-09-29,0
2,Enola Holmes,"Crime,Drama,Mystery",0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,7.6,1636.807,2123,0,21000000,2020-09-23,-21000000
3,Mulan,"Action,Adventure,Drama,Fantasy",1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7.3,1168.889,2534,57000000,200000000,2020-09-04,-143000000
4,Hard Kill,"Action,Thriller",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.7,1034.935,141,0,0,2020-08-25,0
5,Money Plane,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,1032.3419999999999,149,0,0,2020-09-29,0
6,Happy Halloween Scooby-Doo!,"Animation,Family,Mystery,Comedy,Crime",0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,7.7,975.7280000000001,41,0,0,2020-10-06,0
7,Beckman,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,902.2080000000001,6,0,1200000,2020-09-10,-1200000
8,My Hero Academia: Heroes Rising,"Animation,Action",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6,882.81,436,29900850,0,2019-12-20,29900850
9,Rogue,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,875.413,308,139757,0,2020-08-20,139757
10,American Pie Presents: Girls Rules,Comedy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,868.765,87,0,0,2020-10-06,0
11,Santana,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,829.096,138,0,2600000,2020-08-28,-2600000
12,Ava,"Action,Crime,Drama,Thriller",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5.9,819.8439999999999,498,152812,0,2020-07-02,152812
13,Peninsula,"Action,Horror,Thriller",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,7.1,733.3889999999999,623,35878266,17000000,2020-07-15,18878266
14,Unknown Origins,"Drama,Thriller",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6.2,657.567,218,0,3268650,2020-08-28,-3268650
15,Artemis Fowl,"Adventure,Fantasy,ScienceFiction,Family,Action",1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,5.8,650.74,882,0,125000000,2020-06-12,-125000000
16,Archive,"ScienceFiction,Drama,Thriller",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,5.6,583.932,141,0,0,2020-08-13,0
17,One Night in Bangkok,"Action,Thriller",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.2,583.212,111,0,0,2020-08-25,0
18,Project Power,"Action,Crime,ScienceFiction",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.6,563.984,1451,0,0,2020-08-14,0
19,We Bare Bears: The Movie,"Family,Animation,Adventure,Comedy,Mystery",0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,7.7,543.987,451,0,0,2020-06-30,0
20,Secret Society of Second Born Royals,"Action,Adventure,Comedy,Fantasy",1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.0,542.341,167,0,0,2020-09-25,0
21,Hubie Halloween,"Comedy,Horror,Mystery",0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6.4,501.63800000000003,463,0,14000000,2020-10-07,-14000000
22,KonoSuba: God's Blessing on this Wonderful World! Legend of Crimson,"Adventure,Comedy,Animation,Fantasy",0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.6,495.204,170,0,0,2019-08-30,0
23,Cats & Dogs 3: Paws Unite,"Comedy,Action",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,493.577,74,0,0,2020-10-02,0
24,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),"Action,Crime,Comedy",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,463.702,6059,201858461,75000000,2020-02-05,126858461
25,Battlefield 2025,"ScienceFiction,Horror,Action",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5.7,447.023,69,0,0,2020-07-07,0
26,Joker,"Crime,Thriller,Drama",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8.2,434.909,15195,1074251311,55000000,2019-10-02,1019251311
27,Phineas and Ferb The Movie: Candace Against the Universe,"Animation,ScienceFiction,Comedy,Music,Family,TVMovie",0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,7.2,431.47900000000004,119,0,0,2020-08-28,0
28,You've Got This,"Romance,Comedy",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.3,426.524,129,0,0,2020-10-02,0
29,The Old Guard,"Action,Fantasy",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.3,418.05199999999996,2168,0,70000000,2020-07-10,-70000000
30,12 Hour Shift,"Thriller,Horror,Comedy,Crime",0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4.8,411.226,46,0,0,2020-10-02,0
31,The Scientist,Horror,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.5,406.163,49,0,0,2020-09-21,0
32,Bad Boys for Life,"Thriller,Action,Crime",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.3,401.306,5408,419074646,90000000,2020-01-15,329074646
33,Scoob!,"Family,Animation,Comedy,Adventure",0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.4,399.524,782,9430580,0,2020-07-08,9430580
34,Infamous,"Crime,Thriller,Drama",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5.6,382.86400000000003,45,0,0,2020-06-12,0
35,The Crimes That Bind,"Thriller,Crime,Drama",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6.5,379.981,116,0,0,2020-08-20,0
36,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,"Animation,Action,History,Adventure,Fantasy,Drama",1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,9.3,378.981,4,0,0,2020-10-16,0
37,Trolls World Tour,"Animation,Family,Comedy,Fantasy,Adventure,Music",0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,7.6,377.814,1220,1946164,0,2020-03-12,1946164
38,Double World,"Action,Adventure,Fantasy",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.8,376.043,122,0,42835740,2020-07-21,-42835740
39,Legacy of Lies,"Thriller,Action",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.9,372.522,86,0,0,2020-08-06,0
40,The Tax Collector,"Action,Crime,Drama",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.1,371.781,150,0,30000000,2020-08-07,-30000000
41,Rascal Does Not Dream of a Dreaming Girl,"Animation,Comedy,Romance,Drama,Fantasy",0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,8.5,371.402,165,0,0,2019-06-15,0
42,Sonic the Hedgehog,"Action,ScienceFiction,Comedy,Family",1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7.5,363.039,5914,306766470,85000000,2020-02-12,221766470
43,The Silencing,"Crime,Thriller,Action",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.7,356.663,132,0,0,2020-07-18,0
44,Greyhound,"War,Action,Drama",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7.5,352.38599999999997,1263,0,50300000,2020-07-10,-50300000
45,Becky,"Thriller,Action,Horror",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5.4,348.974,62,0,0,2020-07-23,0
46,Mortal Kombat Legends: Scorpion's Revenge,"Fantasy,Action,Adventure,Animation",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.4,343.214,633,0,0,2020-04-12,0
47,It Chapter Two,"Horror,Fantasy",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,6.9,338.24800000000005,4932,473093228,79000000,2019-09-04,394093228
48,After We Collided,"Romance,Drama",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6.5,334.272,482,0,0,2020-09-02,0
49,Bloodshot,"Action,ScienceFiction",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.9,333.86699999999996,3228,30234182,42000000,2020-03-05,-11765818
50,Onward,"Animation,Family,Adventure,Comedy,Fantasy",0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7.9,323.54,3264,103181419,200000000,2020-02-29,-96818581
51,Nocturne,"Horror,Mystery,Thriller",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,6.2,321.211,42,0,0,2020-10-13,0
52,Goblin Slayer: Goblin's Crown,"Animation,Adventure,Action,Fantasy",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.0,317.199,76,0,0,2020-02-01,0
53,The War with Grandpa,"Comedy,Family,Drama",0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6.1,315.895,84,8982106,0,2020-08-27,8982106
54,Barbie: Princess Adventure,"Animation,Music",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.7,314.525,69,0,0,2020-09-01,0
55,Psycho-Pass 3 Movie: First Inspector,"ScienceFiction,Action,Crime",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.1,314.157,11,0,0,2020-03-27,0
56,ASYLUM: Twisted Horror and Fantasy Tales,"Comedy,Horror,ScienceFiction",0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5.3,309.342,3,0,0,2020-07-02,0
57,Mortal,"Action,Fantasy,Thriller",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6.5,309.251,177,106270,0,2020-02-28,106270
58,Robot Riot,"Action,ScienceFiction",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.1,308.96299999999997,6,0,0,2020-06-12,0
59,Weathering with You,"Animation,Romance,Fantasy,Drama",0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,8.1,297.038,637,186965409,0,2019-07-19,186965409
60,1BR,"Thriller,Drama,Horror",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.0,294.65,0,0,0,2020-11-26,0
61,Frozen II,"Animation,Family,Adventure,Comedy,Fantasy",0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7.3,293.781,6263,1450026933,150000000,2019-11-20,1300026933
62,Boruto: Naruto the Movie,"Action,Comedy,Animation",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,290.827,598,0,0,2015-08-07,0
63,Dark Forces,"Horror,Action,Thriller,Mystery",1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,4.8,285.598,15,0,0,2020-08-21,0
64,My Hero Academia: Two Heroes,"Animation,Action,Comedy,Fantasy,Adventure",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.0,283.291,445,31478826,0,2018-08-03,31478826
65,Evil Eye,"Horror,Mystery,Thriller",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,5.4,282.698,27,0,0,2020-10-13,0
66,Black Box,"Horror,ScienceFiction,Thriller",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,6.5,272.111,78,0,0,2020-10-06,0
67,Cut Throat City,"Action,Crime,Drama,Thriller",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5.5,270.725,11,0,0,2020-07-31,0
68,Dragonheart: Vengeance,Fantasy,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.7,269.454,177,0,0,2020-02-04,0
69,After Porn Ends 2,Documentary,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,268.83099999999996,119,0,500000,2017-03-28,-500000
70,Love and Monsters,"Adventure,ScienceFiction,Romance,Comedy",0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8.1,265.619,69,0,0,2020-10-16,0
71,Tribal: Get Out Alive,"Action,Horror,Thriller",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3.6,262.818,7,0,0,2020-07-07,0
72,3022,ScienceFiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.9,262.54,84,0,0,2019-11-22,0
73,The Last: Naruto the Movie,"Action,Romance,Animation",1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.9,257.988,725,0,0,2014-12-06,0
74,Books of Blood,"Horror,ScienceFiction",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6.8,256.652,34,0,0,2020-10-07,0
75,Spontaneous,"Horror,Comedy,Romance,ScienceFiction",0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,7.3,256.219,26,0,0,2020-10-02,0
76,Terrifier,"Thriller,Horror",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,6.2,254.998,277,0,100000,2016-10-15,-100000
77,Before the Fire,"Action,ScienceFiction,Thriller",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6.4,251.50599999999997,19,0,0,2020-03-14,0
78,Force of Nature,"Action,Drama,Crime",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.3,251.362,139,215668,0,2020-07-02,215668
79,Coco,"Animation,Family,Comedy,Adventure,Fantasy",0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8.2,250.68400000000003,12357,800526015,175000000,2017-10-27,625526015
80,Jumanji: The Next Level,"Adventure,Comedy,Fantasy",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.0,250.007,4852,796575993,125000000,2019-12-04,671575993
81,Your Name.,"Romance,Animation,Drama",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,8.6,248.394,6494,357986087,0,2016-08-26,357986087
82,Extraction,"Drama,Action,Thriller",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7.4,243.91400000000002,3156,0,65000000,2020-04-24,-65000000
83,Avengers: Infinity War,"Adventure,Action,ScienceFiction",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.3,240.15,19930,2046239637,300000000,2018-04-25,1746239637
84,The Outpost,"War,Drama,History,Action",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,6.7,238.312,399,0,0,2020-06-24,0
85,Fast & Furious Presents: Hobbs & Shaw,"Action,Adventure,Comedy",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,235.577,4234,760098996,200000000,2019-08-01,560098996
86,1917,"War,Drama",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7.9,235.157,6722,374733942,100000000,2019-12-25,274733942
87,The ABCs of Death,Horror,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.8,232.666,335,21660,0,2013-03-08,21660
88,Invasion,ScienceFiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.0,228.717,406,32104054,8819200,2020-01-01,23284854
89,Ginny Weds Sunny,"Romance,Comedy,Drama,Family",0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,7.1,227.727,9,0,0,2020-10-09,0
90,Deathstroke: Knights & Dragons - The Movie,"Animation,Action",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,227.49,164,0,0,2020-08-04,0
91,The Binding,"Horror,Thriller,Drama",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,5.6,225.896,92,0,0,2020-10-02,0
92,Spider-Man: Far from Home,"Action,Adventure,ScienceFiction",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.6,221.05700000000002,8509,1131927996,160000000,2019-06-28,971927996
93,Away,"Animation,Adventure,Fantasy",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.9,219.105,14,7200,0,2019-11-15,7200
94,Avengers: Endgame,"Adventure,ScienceFiction,Action",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.3,217.84400000000002,15348,2797800564,356000000,2019-04-24,2441800564
95,Intersect,"Horror,ScienceFiction,Thriller",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,6.3,216.62400000000002,15,0,0,2020-02-12,0
96,TKG: The Kids of Grove,"Crime,Thriller",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.4,216.495,5,0,0,2020-09-23,0
97,Kabaneri of the Iron Fortress: The Battle of Unato,"Animation,Action,Fantasy,Adventure",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.2,214.805,22,0,0,2019-05-10,0
98,Breaking Surface,"Thriller,Drama,Action",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7.2,214.322,133,0,0,2020-02-14,0
99,Superman: Man of Tomorrow,"Animation,Action,ScienceFiction",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.4,211.77599999999998,186,0,0,2020-08-23,0
100,Dad Wanted,"Drama,Comedy,Family",0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.9,209.105,100,0,0,2020-09-11,0
101,Black Fox,"Animation,Action,Drama,ScienceFiction",1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7.8,205.86599999999999,10,0,0,2019-10-05,0
102,Arkansas,"Crime,Drama,Thriller",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,205.322,0,0,0,2020-11-12,0
103,Terminator: Dark Fate,"Action,Adventure,ScienceFiction",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.5,204.84799999999998,2881,261119292,185000000,2019-10-23,76119292
104,The King’s Avatar: For The Glory,"Animation,Action,Adventure,Fantasy",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.0,202.835,5,0,0,2019-08-16,0
105,A Quiet Place Part II,"Drama,ScienceFiction,Thriller",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.0,200.66299999999998,0,0,0,2021-04-21,0
106,Forbidden Empire,"Thriller,Adventure,Mystery,Fantasy,Horror,ScienceFiction",0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,5.8,199.933,184,34592118,26000000,2014-01-30,8592118
107,John Wick: Chapter 3 - Parabellum,"Action,Thriller,Crime",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.4,191.574,5821,326709727,55000000,2019-05-15,271709727
108,Toy Story 4,"Adventure,Animation,Comedy,Family,Fantasy",0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7.6,190.43599999999998,6143,1073394593,175000000,2019-06-19,898394593
109,The Kissing Booth 2,"Comedy,Romance",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.0,189.59900000000002,3526,0,0,2020-07-24,0
110,Ashfall,"Action,Adventure,Thriller",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.8,187.08700000000002,121,0,0,2019-12-19,0
111,The Larva Island Movie,"Animation,Family",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.5,186.36,97,0,0,2020-07-23,0
112,Playdate with Destiny,"Animation,Comedy,Family",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.6,186.283,240,0,0,2020-02-29,0
113,Pinocchio,"Fantasy,Family,Adventure,Drama",0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,6.8,185.699,726,17133446,12400000,2019-12-19,4733446
114,A Whisker Away,"Animation,Drama,Romance,Fantasy",0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,8.1,185.179,520,0,0,2020-06-18,0
115,The Lion King,"Adventure,Animation,Family,Music",0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7.2,184.543,6919,1656943394,260000000,2019-07-12,1396943394
116,Lamp Life,"Animation,Comedy,Family",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.3,184.437,100,0,0,2020-01-31,0
117,Maleficent: Mistress of Evil,"Fantasy,Family,Adventure",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7.3,183.912,3722,491570967,185000000,2019-10-16,306570967
118,The Immortal Wars: Resurgence,"Action,ScienceFiction",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.9,182.94,55,0,0,2019-12-13,0
119,Assassin 33 A.D.,ScienceFiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.4,180.234,12,0,0,2020-01-24,0
120,The Paramedic,"Thriller,Drama",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6.2,177.205,248,0,0,2020-09-16,0
121,The Addams Family,"Animation,Comedy,Family,Fantasy",0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6.6,176.178,1167,203044905,40000000,2019-10-10,163044905
122,The Rising Hawk,"Drama,History,Action",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6.1,173.997,37,0,2900000,2019-10-10,-2900000
123,6 Underground,"Action,Thriller",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.3,173.66299999999998,2589,0,150000000,2019-12-13,-150000000
124,High Tension,"Horror,Thriller,Mystery",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,6.7,173.515,729,6291958,0,2003-06-18,6291958
125,ABCs of Death 2,Horror,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.3,172.072,178,7171,0,2014-10-02,7171
126,Dolittle,"Comedy,Fantasy,Adventure,Family",0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6.9,171.808,2122,245692007,175000000,2020-01-01,70692007
127,Centigrade,"Thriller,Drama",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6.9,171.701,92,0,0,2020-08-28,0
128,The Secret Life of Pets 2,"Adventure,Animation,Comedy,Family",0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.0,170.03799999999998,1815,155152550,80000000,2019-05-24,75152550
129,Let It Snow,"Thriller,Horror",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4.9,168.922,10,0,0,2020-09-22,0
130,Ju-on: The Grudge,Horror,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.6,167.375,412,325680,3500000,2002-10-18,-3174320
131,Sniper: Assassin's End,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,167.021,27,0,0,2020-06-15,0
132,The One and Only Ivan,"Family,Comedy,Drama",0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.3,166.543,176,0,0,2020-08-21,0
133,The Angry Birds Movie 2,"Animation,Comedy,Adventure,Family",0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.1,163.90099999999998,868,131359052,65000000,2019-08-02,66359052
134,Underwater,"Action,Horror,ScienceFiction,Thriller",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,6.4,163.431,1632,40882928,80000000,2020-01-08,-39117072
135,Gemini Man,"Action,Drama,ScienceFiction,Thriller",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,6.4,163.39,2999,173469516,138000000,2019-10-02,35469516
136,Star Wars: The Rise of Skywalker,"Action,Adventure,ScienceFiction",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.6,161.727,5779,1074144248,250000000,2019-12-18,824144248
137,Psych 2: Lassie Come Home,"Comedy,Crime,Action",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,161.09799999999998,32,0,0,2020-07-15,0
138,Antebellum,Horror,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.9,160.722,188,4,15,2020-09-02,-11
139,Zombieland: Double Tap,"Horror,Action,Comedy",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.0,159.95600000000002,2985,122801777,42000000,2019-10-09,80801777
140,Zombi Child,"Fantasy,Horror,Drama",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,6.6,157.931,58,0,0,2019-06-12,0
141,The King of Staten Island,"Comedy,Drama",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.8,156.54,174,0,0,2020-07-22,0
142,Wish Upon a Unicorn,"Adventure,Family,Fantasy",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7.3,155.36,26,0,0,2020-09-15,0
143,Pokémon Detective Pikachu,"Action,Adventure,Fantasy",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.0,154.97899999999998,4333,433005346,150000000,2019-05-03,283005346
144,A Feral World,"Drama,Horror,ScienceFiction",0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,6.0,154.959,1,0,0,2020-09-22,0
145,Sanctuary Population One,ScienceFiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.8,154.88299999999998,5,0,225000,2019-12-27,-225000
146,Bill & Ted Face the Music,"Comedy,ScienceFiction,Adventure",0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.4,153.311,232,0,25000000,2020-08-27,-25000000
147,Legionnaire's Trail,"Action,Adventure,History",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.5,153.119,19,0,0,2020-05-08,0
148,Cencoroll Connect,"Animation,ScienceFiction",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.0,152.667,8,0,0,2019-06-29,0
149,The Owners,"Thriller,Horror,Action",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5.6,151.887,88,225374,0,2020-08-27,225374
150,A Silent Voice,"Animation,Drama,Romance",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,8.3,150.613,1903,30156463,0,2016-09-17,30156463
151,Venom,"ScienceFiction,Action",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.7,150.446,9676,855013954,116000000,2018-09-28,739013954
